priority_tier,county,source_result_key,source_norm,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,score_gap_1_2
manual_medium,Hampton,Hampton - Hampton Cthse 2,HAMPTON - HAMPTON CTHSE 2,1,Hampton - Hampton No. 2,Hampton - Hampton Courthouse No.2,0.8621,Hampton - Hampton Courthouse No.1,0.8276,,,0.0345
manual_medium,Lancaster,Lancaster - Wylie Park,LANCASTER - WYLIE PARK,1,Lancaster - University,Lancaster - Hyde Park,0.8837,Lancaster - College Park,0.8261,Lancaster - Erwin Farm,0.7727,0.0576
manual_medium,Lexington,Lexington - Cayce Ward No.1,LEXINGTON - CAYCE WARD NO.1,1,Lexington - Cayce No. 1,Lexington - Cayce No. 1,0.8800,Lexington - Cayce No. 2,0.8400,Lexington - Cayce No. 3,0.8400,0.0400
manual_medium,Lexington,Lexington - Cayce Ward No.2,LEXINGTON - CAYCE WARD NO.2,1,Lexington - Cayce No. 2,Lexington - Cayce No. 2,0.8800,Lexington - Cayce No. 1,0.8400,Lexington - Cayce No. 3,0.8400,0.0400
manual_medium,Lexington,Lexington - Cayce Ward No.3,LEXINGTON - CAYCE WARD NO.3,1,Lexington - Cayce No. 3,Lexington - Cayce No. 3,0.8800,Lexington - Cayce No. 1,0.8400,Lexington - Cayce No. 2,0.8400,0.0400
manual_medium,Lexington,Lexington - Saint David,LEXINGTON - SAINT DAVID,1,Lexington - St. Davids,Lexington - St. Davids,0.8889,Lexington - Springdale,0.7556,Lexington - Fairview,0.7442,0.1333
manual_medium,Newberry,Newberry - Consolidated 5,NEWBERRY - CONSOLIDATED 5,1,Newberry - Consolidated Number 5,Newberry - Consolidated Number 5,0.8772,,,,,0.8772
manual_medium,Newberry,Newberry - St Phillips Jolly St.,NEWBERRY - ST PHILLIPS JOLLY ST.,1,Newberry - St. Phillips-Jolly Street,Newberry - St. Phillips-Jolly Street,0.8824,,,,,0.8824
manual_medium,Orangeburg,Orangeburg - 4 Holes,ORANGEBURG - 4 HOLES,1,Orangeburg - Four Holes,Orangeburg - Four Holes,0.8837,Orangeburg - Cope,0.8108,Orangeburg - Bethel,0.7692,0.0729
manual_medium,Pickens,Pickens - 9 Forks,PICKENS - 9 FORKS,1,Pickens - Nine Forks,Pickens - Nine Forks,0.8649,Pickens - Norris,0.7879,Pickens - Morrison,0.7429,0.0770
manual_medium,Pickens,Pickens - Pickens I,PICKENS - PICKENS I,1,Pickens - East Pickens,Pickens - Pickensville,0.8780,Pickens - Pike,0.8485,Pickens - West Pickens,0.8293,0.0295
manual_medium,Spartanburg,Spartanburg - Boiling Springs A,SPARTANBURG - BOILING SPRINGS A,1,Spartanburg - Boiling Springs 9Th Grade,Spartanburg - Boiling Springs 9Th Grade,0.8857,Spartanburg - Boiling Springs Elementary,0.8732,Spartanburg - Boling Springs Jr. High,0.8529,0.0125
manual_medium,Spartanburg,Spartanburg - Clifdale Elementary,SPARTANBURG - CLIFDALE ELEMENTARY,1,Spartanburg - Broome High School,Spartanburg - Arcadia Elementary,0.8615,Spartanburg - Pacolet Elementary,0.8615,Spartanburg - Lyman Elementary,0.8571,0.0000
manual_medium,Spartanburg,Spartanburg - Cornerstone,SPARTANBURG - CORNERSTONE,1,Spartanburg - Cornerstone Baptist,Spartanburg - Converse,0.8936,Spartanburg - Cornerstone Baptist,0.8621,Spartanburg - Cowpens,0.7826,0.0315
manual_medium,Spartanburg,Spartanburg - Fairforest,SPARTANBURG - FAIRFOREST,1,Spartanburg - Fairforest Elementary,Spartanburg - Airport,0.8889,Spartanburg - Failsafe,0.8261,Spartanburg - Fairgrounds,0.8163,0.0628
manual_medium,Spartanburg,Spartanburg - Grace Baptist,SPARTANBURG - GRACE BAPTIST,1,Spartanburg - Duncan United Methodist,Spartanburg - Apalache Baptist,0.8772,Spartanburg - Croft Baptist,0.8519,Spartanburg - Eastside Baptist,0.8421,0.0253
manual_medium,Spartanburg,Spartanburg - Holly Springs,SPARTANBURG - HOLLY SPRINGS,1,Spartanburg - Holly Springs Baptist,Spartanburg - Holly Springs Motlow,0.8852,Spartanburg - Holly Springs Baptist,0.8710,Spartanburg - Cooley Springs Baptist,0.7937,0.0142
manual_medium,Spartanburg,Spartanburg - Una Fire Station,SPARTANBURG - UNA FIRE STATION,1,Spartanburg - Powell Saxon Una,Spartanburg - Pelham Fire Station,0.8889,Spartanburg - Startex Fire Station,0.8750,Spartanburg - Converse Fire Station,0.8615,0.0139
manual_medium,Sumter,Sumter - 2Nd Mill,SUMTER - 2ND MILL,1,Sumter - Second Mill,Sumter - Second Mill,0.8649,Sumter - Stone Hill,0.7778,Sumter - Millwood,0.7647,0.0871
manual_medium,Sumter,Sumter - Oakland Plant. 1,SUMTER - OAKLAND PLANT. 1,1,Sumter - Oakland Plantation 1,Sumter - Oakland Plantation 1,0.8889,Sumter - Oakland Plantation 2,0.8519,,,0.0370
manual_medium,Sumter,Sumter - Oakland Plant. 2,SUMTER - OAKLAND PLANT. 2,1,Sumter - Oakland Plantation 2,Sumter - Oakland Plantation 2,0.8889,Sumter - Oakland Plantation 1,0.8519,,,0.0370
manual_medium,Union,Union - Ward 1 Box 1,UNION - WARD 1 BOX 1,1,Union - Union Ward 1 Box 1,Union - Union Ward 1 Box 1,0.8696,Union - Union Ward 1 Box 2,0.8261,Union - Union Ward 4 Box 1,0.8261,0.0435
manual_medium,Union,Union - Ward 1 Box 2,UNION - WARD 1 BOX 2,1,Union - Union Ward 1 Box 2,Union - Union Ward 1 Box 2,0.8696,Union - Union Ward 1 Box 1,0.8261,Union - Union Ward 4 Box 2,0.8261,0.0435
manual_medium,Union,Union - Ward 4 Box 1,UNION - WARD 4 BOX 1,1,Union - Union Ward 4 Box 1,Union - Union Ward 4 Box 1,0.8696,Union - Union Ward 1 Box 1,0.8261,Union - Union Ward 4 Box 2,0.8261,0.0435
manual_medium,Union,Union - Ward 4 Box 2,UNION - WARD 4 BOX 2,1,Union - Union Ward 4 Box 2,Union - Union Ward 4 Box 2,0.8696,Union - Union Ward 1 Box 2,0.8261,Union - Union Ward 4 Box 1,0.8261,0.0435
manual_hard,Aiken,Aiken - Ascauga Lake,AIKEN - ASCAUGA LAKE,2,Aiken - Ascauga Lake No. 63,Aiken - Ascauga Lake No. 63,0.8511,Aiken - Ascauga Lake No. 84,0.8511,Aiken - Misty Lakes,0.7179,0.0000
manual_hard,Aiken,Aiken - Gem Lakes,AIKEN - GEM LAKES,2,Aiken - Gem Lakes No. 60,Aiken - Misty Lakes,0.8333,Aiken - Gem Lakes No. 60,0.8293,Aiken - Gem Lakes No. 77,0.8293,0.0040
manual_hard,Aiken,Aiken - Hammond,AIKEN - HAMMOND,2,Aiken - Hammond No. 48,Aiken - Hammond No. 48,0.8108,Aiken - Hammond No. 81,0.8108,Aiken - Ward,0.7407,0.0000
manual_hard,Aiken,Aiken - Levels,AIKEN - LEVELS,2,Aiken - Levels No. 52,Aiken - Levels No. 52,0.8000,Aiken - Levels No. 72,0.8000,Aiken - Levels No. 83,0.8000,0.0000
manual_hard,Aiken,Aiken - 6 Points 35,AIKEN - 6 POINTS 35,1,Aiken - Six Points No. 35,Aiken - Six Points No. 35,0.8182,Aiken - Six Points No. 46,0.7273,,,0.0909
manual_hard,Aiken,Aiken - 6 Points 46,AIKEN - 6 POINTS 46,1,Aiken - Six Points No. 46,Aiken - Six Points No. 46,0.8182,Aiken - Six Points No. 35,0.7273,,,0.0909
manual_hard,Aiken,Aiken - Couchton No. 56,AIKEN - COUCHTON NO. 56,1,Aiken - Couchton,Aiken - Couchton,0.8205,Aiken - Community No. 86,0.7660,Aiken - South Aiken No. 75,0.7347,0.0545
manual_hard,Aiken,Aiken - Eureka No. 14,AIKEN - EUREKA NO. 14,1,Aiken - Eureka,Aiken - Eureka,0.8000,Aiken - Creek No. 85,0.7805,Aiken - Cedar Creek No. 64,0.7660,0.0195
manual_hard,Aiken,Aiken - Jackson No. 17,AIKEN - JACKSON NO. 17,1,Aiken - Jackson,Aiken - Aiken No. 1,0.8293,Aiken - Jackson,0.8108,Aiken - Aiken No. 47,0.8095,0.0185
manual_hard,Aiken,Aiken - Langley No. 18,AIKEN - LANGLEY NO. 18,1,Aiken - Langley,Aiken - Langley,0.8108,Aiken - Midland Valley No. 51,0.7843,Aiken - Midland Valley No. 71,0.7843,0.0265
manual_hard,Aiken,Aiken - Lynwood No. 19,AIKEN - LYNWOOD NO. 19,1,Aiken - Lynwood,Aiken - Lynwood,0.8108,Aiken - Aiken No. 1,0.7317,Aiken - Hammond No. 81,0.7273,0.0791
manual_hard,Aiken,Aiken - Millbrook No 20,AIKEN - MILLBROOK NO 20,1,Aiken - Millbrook,Aiken - Millbrook,0.8500,Aiken - Aiken No. 2,0.7143,,,0.1357
manual_hard,Aiken,Aiken - Millbrook No. 20,AIKEN - MILLBROOK NO. 20,1,Aiken - Millbrook,Aiken - Millbrook,0.8293,Aiken - Aiken No. 2,0.7442,Aiken - Levels No. 52,0.7111,0.0851
manual_hard,Aiken,Aiken - Misty Lakes No. 45,AIKEN - MISTY LAKES NO. 45,1,Aiken - Misty Lakes,Aiken - Misty Lakes,0.8444,Aiken - Gem Lakes No. 60,0.8000,Aiken - Gem Lakes No. 77,0.8000,0.0444
manual_hard,Aiken,Aiken - Monetta No. 21,AIKEN - MONETTA NO. 21,1,Aiken - Monetta,Aiken - Monetta,0.8108,Aiken - Hammond No. 81,0.7727,Aiken - Montmorenci No. 22,0.7500,0.0381
manual_hard,Aiken,Aiken - Oak Grove No 30,AIKEN - OAK GROVE NO 30,1,Aiken - Oak Grove,Aiken - Oak Grove,0.8500,Aiken - Aiken No. 3,0.7619,Aiken - Aiken No. 1,0.7143,0.0881
manual_hard,Aiken,Aiken - Oak Grove No. 30,AIKEN - OAK GROVE NO. 30,1,Aiken - Oak Grove,Aiken - Oak Grove,0.8293,Aiken - Aiken No. 3,0.7907,Aiken - Aiken No. 1,0.7442,0.0386
manual_hard,Aiken,Aiken - Perry No. 31,AIKEN - PERRY NO. 31,1,Aiken - Perry,Aiken - Perry,0.7879,Aiken - Aiken No. 1,0.7692,Aiken - Aiken No. 3,0.7692,0.0187
manual_hard,Aiken,Aiken - Salley No. 32,AIKEN - SALLEY NO. 32,1,Aiken - Salley,Aiken - Aiken No. 2,0.8000,Aiken - Aiken No. 3,0.8000,Aiken - Salley,0.8000,0.0000
manual_hard,Aiken,Aiken - Shiloh No. 34,AIKEN - SHILOH NO. 34,1,Aiken - Shiloh,Aiken - Shiloh,0.8000,Aiken - Aiken No. 3,0.7500,Aiken - Aiken No. 4,0.7500,0.0500
manual_hard,Aiken,Aiken - Talatha No. 37,AIKEN - TALATHA NO. 37,1,Aiken - Talatha,Aiken - Talatha,0.8108,Aiken - Aiken No. 3,0.7317,Aiken - Aiken No. 47,0.7143,0.0791
manual_hard,Aiken,Aiken - Vaucluse No. 38,AIKEN - VAUCLUSE NO. 38,1,Aiken - Vaucluse,Aiken - Vaucluse,0.8205,Aiken - Levels No. 83,0.7727,Aiken - Aiken No. 3,0.7619,0.0478
manual_hard,Aiken,Aiken - Wagener No. 39,AIKEN - WAGENER NO. 39,1,Aiken - Wagener,Aiken - Aiken No. 3,0.8293,Aiken - Wagener,0.8108,Aiken - Aiken No. 1,0.7805,0.0185
manual_hard,Anderson,Anderson - 3 And 20,ANDERSON - 3 AND 20,1,Anderson - Three And Twenty,Anderson - Anderson 1/2,0.7805,Anderson - Anderson 2/1,0.7805,Anderson - Anderson 2/2,0.7805,0.0000
manual_hard,Anderson,Anderson - Grove School,ANDERSON - GROVE SCHOOL,1,Anderson - Jackson Mill,Anderson - Hammond School,0.7917,Anderson - Wright'S School,0.7917,Anderson - Provisional,0.7556,0.0000
manual_hard,Berkeley,Berkeley - 78,BERKELEY - 78,1,Berkeley - Seventy Eight,Berkeley - Alvin,0.7586,Berkeley - Cross,0.7586,Berkeley - Huger,0.7586,0.0000
manual_hard,Berkeley,Berkeley - Emergency,BERKELEY - EMERGENCY,1,Berkeley - Medway,Berkeley - Medway,0.7568,Berkeley - Bethera,0.7368,Berkeley - Huger,0.7222,0.0200
manual_hard,Berkeley,Berkeley - Emergency 2,BERKELEY - EMERGENCY 2,1,Berkeley - Macedonia 2,Berkeley - Medway,0.7179,Berkeley - Sedgefield 2,0.7111,Berkeley - Bethera,0.7000,0.0068
manual_hard,Cherokee,Cherokee - 99 And Cherokee Falls,CHEROKEE - 99 AND CHEROKEE FALLS,1,Cherokee - Ninety Nine And Cherokee Falls,Cherokee - Ninety Nine And Cherokee Falls,0.8219,,,,,0.8219
manual_hard,Cherokee,Cherokee - Central,CHEROKEE - CENTRAL,1,Cherokee - Gaffney Ward No. 5,Cherokee - Macedonia,0.7895,Cherokee - Allens,0.7429,Cherokee - Provisional,0.7000,0.0466
manual_hard,Chesterfield,Chesterfield - Center Point,CHESTERFIELD - CENTER POINT,1,Chesterfield - Cheraw No. 4,Chesterfield - Center Grove-Winzo,0.8333,Chesterfield - Jefferson,0.7843,Chesterfield - Mcbee,0.7660,0.0490
manual_hard,Colleton,Colleton - Ashton,COLLETON - ASHTON,1,Colleton - Ashton-Lodge,Colleton - Ashton-Lodge,0.8500,Colleton - Edisto,0.8235,Colleton - Stokes,0.8235,0.0265
manual_hard,Colleton,Colleton - Berea,COLLETON - BEREA,1,Colleton - Berea-Smoaks,Colleton - Berea-Smoaks,0.8205,Colleton - Bells,0.8125,Colleton - Peniel,0.7879,0.0080
manual_hard,Colleton,Colleton - Lodge,COLLETON - LODGE,1,Colleton - Ashton-Lodge,Colleton - Ashton-Lodge,0.8205,Colleton - Stokes,0.7879,Colleton - Peeples,0.7647,0.0326
manual_hard,Dillon,Dillon - Gaddys Mill,DILLON - GADDYS MILL,1,Dillon - Pleasant Hill,Dillon - Pleasant Hill,0.7143,Dillon - East Dillon,0.7000,,,0.0143
manual_hard,Edgefield,Edgefield - Kendall,EDGEFIELD - KENDALL,1,Edgefield - Edgefield No. 2,Edgefield - Westside,0.7179,Edgefield - Provisional,0.7143,,,0.0036
manual_hard,Florence,Florence - Emergency,FLORENCE - EMERGENCY,1,Florence - Evergreen,Florence - Evergreen,0.8500,Florence - Elim-Glenwood,0.7273,Florence - Salem,0.7222,0.1227
manual_hard,Florence,Florence - Emergency 1,FLORENCE - EMERGENCY 1,1,Florence - Evergreen,Florence - Evergreen,0.8095,Florence - Delmae No. 1,0.7556,Florence - West Florence 1,0.7500,0.0539
manual_hard,Georgetown,Georgetown - Cedar Creek,GEORGETOWN - CEDAR CREEK,1,Georgetown - Lambert Town,Georgetown - Santee,0.7442,Georgetown - Andrews,0.7273,Georgetown - Choppee,0.7273,0.0169
manual_hard,Georgetown,Georgetown - Emergency,GEORGETOWN - EMERGENCY,1,Georgetown - Lambert Town,Georgetown - Pee Dee,0.7619,Georgetown - Myersville,0.7556,Georgetown - Bethel,0.7317,0.0063
manual_hard,Georgetown,Georgetown - Georgetown No. 2-Dream Keepers,GEORGETOWN - GEORGETOWN NO. 2-DREAM KEEPERS,1,Georgetown - Dream Keepers,Georgetown - Georgetown No. 1,0.7778,Georgetown - Georgetown No. 3,0.7778,Georgetown - Georgetown No. 4,0.7778,0.0000
manual_hard,Georgetown,Georgetown - Georgetown No. 2-Dreamkeepers,GEORGETOWN - GEORGETOWN NO. 2-DREAMKEEPERS,1,Georgetown - Dream Keepers,Georgetown - Georgetown No. 1,0.7887,Georgetown - Georgetown No. 3,0.7887,Georgetown - Georgetown No. 4,0.7887,0.0000
manual_hard,Greenwood,Greenwood - Greenwood No. 6,GREENWOOD - GREENWOOD NO. 6,3,Greenwood - Hopes Ferry,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,Greenwood - Stonewood,0.7083,0.0000
manual_hard,Greenwood,Greenwood - Emergency,GREENWOOD - EMERGENCY,1,Greenwood - Bees Ferry,Greenwood - Verdery,0.8000,Greenwood - Emerald,0.8000,Greenwood - Georgetown,0.7907,0.0000
manual_hard,Greenwood,Greenwood - Emergency Provisional,GREENWOOD - EMERGENCY PROVISIONAL,1,Greenwood - Angel Oaks Crossing,Greenwood - Provisional,0.8214,Greenwood - Failsafe Provisional,0.7692,,,0.0522
