scope,precinct_norm,district,weight
congressional,LEXINGTON - CAYCE WARD NO. 2,6,0.000685658175
congressional,LEXINGTON - CAYCE WARD NO. 3,2,1.000000000000
congressional,LEE - CEDAR CREEK,5,1.000000000000
congressional,ANDERSON - CEDAR GROVE,3,1.000000000000
congressional,HORRY - CEDAR GROVE,7,1.000000000000
congressional,PICKENS - CEDAR ROCK,3,1.000000000000
congressional,WILLIAMSBURG - CEDAR SWAMP,6,1.000000000000
congressional,LEXINGTON - CEDARCREST,2,1.000000000000
congressional,YORK - CELANESE,5,1.000000000000
congressional,MARION - CENTENARY,7,1.000000000000
congressional,SALUDA - CENTENNIAL,3,1.000000000000
congressional,CHESTERFIELD - CENTER GROVE-WINZO,7,1.000000000000
congressional,CALHOUN - CENTER HILL,2,0.000000092326
congressional,CALHOUN - CENTER HILL,6,0.999999907674
congressional,ANDERSON - CENTER ROCK,3,1.000000000000
congressional,FAIRFIELD - CENTERVILLE,2,0.000001483047
congressional,FAIRFIELD - CENTERVILLE,5,0.999998516953
congressional,ANDERSON - CENTERVILLE STATION A,3,1.000000000000
congressional,ANDERSON - CENTERVILLE STATION B,3,1.000000000000
congressional,BERKELEY - CENTRAL,1,1.000000000000
congressional,DORCHESTER - CENTRAL,1,1.000000000000
congressional,WILLIAMSBURG - CENTRAL,6,1.000000000000
congressional,DORCHESTER - CENTRAL 2,1,1.000000000000
congressional,LEXINGTON - CHALK HILL,2,0.998414914001
congressional,LEXINGTON - CHALK HILL,6,0.001585085999
congressional,LEXINGTON - CHALLEDON,2,1.000000000000
congressional,LEXINGTON - CHAPIN,2,0.999999930249
congressional,LEXINGTON - CHAPIN,3,0.000000069751
congressional,SPARTANBURG - CHAPMAN HIGH SCHOOL,4,1.000000000000
congressional,NEWBERRY - CHAPPELLS,3,1.000000000000
congressional,CHARLESTON - CHARLESTON 1,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 10,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 11,6,1.000000000000
