year,contest_type,county,source_result_key,target_polygon_key,score,status,confidence,notes
2024,president,,Anderson - Edgewood Station B,Anderson - Edgewood Station B,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Anderson - Fork No 1,Anderson - Fork No. 1,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Fork No 2,Anderson - Fork No. 2,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Green Pond Station A,Anderson - Green Pond Station A,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Anderson - Hammond School,Anderson - Jackson Mill,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Anderson - La France,Anderson - La France,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Anderson - North Pointe,Anderson - North Point,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Rock Spring,Anderson - Rock Spring,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Anderson - Three And Twenty,Anderson - Three And Twenty,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Belfair 1,Beaufort - Belfair,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Belfair 2,Beaufort - Belfair,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 3,Beaufort - Moss Creek,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Bluffton 3,Beaufort - Bluffton 3,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Bluffton 4E,Beaufort - Bluffton 4B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 5A,Beaufort - Bluffton 5A,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Bluffton 5C,Beaufort - Bluffton 1A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 5D,Beaufort - Bluffton 1C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 5E,Beaufort - Bluffton 1D,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 6A,Beaufort - Bluffton 5A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 6B,Beaufort - Bluffton 4D,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 7A,Beaufort - Bluffton 2C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Buckwalter 1,Beaufort - Bluffton 4C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Buckwalter 2,Beaufort - Bluffton 4C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Burton 2D,Beaufort - Burton 2C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Burton 3A,Beaufort - Burton 1A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Burton 3B,Beaufort - Burton 3,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Burton 4,Beaufort - Burton 1C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Burton 5A,Beaufort - Burton 2A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Burton 5B,Beaufort - Burton 2B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Chechessee 1,Beaufort - Chechessee 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Chechessee 3,Beaufort - Chechessee 1,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 2D,Beaufort - Hilton Head 2B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 2E,Beaufort - Hilton Head 2C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 6,Beaufort - Hilton Head 6,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Hilton Head 6,Beaufort - Hilton Head 7A,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Hilton Head 7C,Beaufort - Hilton Head 7B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 8,Beaufort - Hilton Head 13,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Hilton Head 8,Beaufort - Hilton Head 8,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Hilton Head 9C,Beaufort - Hilton Head 9A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 9D,Beaufort - Hilton Head 9B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Ladys Island 4A,Beaufort - Ladys Island 1A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Ladys Island 4B,Beaufort - Ladys Island 1B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Ladys Island 4C,Beaufort - Ladys Island 2A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - New River 1,Beaufort - New River,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - New River 2,Beaufort - New River,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Pritchardville 1,Beaufort - Bluffton 2D,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Riverbend,Beaufort - Chechessee 2,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Rose Hill 1,Beaufort - Rose Hill,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Rose Hill 2,Beaufort - Rose Hill,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - St. Helena 1A,Beaufort - St. Helena 1A,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - St. Helena 1B,Beaufort - St. Helena 1B,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - St. Helena 1C,Beaufort - St. Helena 1C,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - St. Helena 2A,Beaufort - St. Helena 2A,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - St. Helena 2B,Beaufort - St. Helena 2B,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - St. Helena 2C,Beaufort - St. Helena 2C,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Spanish Wells,Beaufort - Hilton Head 10,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Sun City 10,Beaufort - Sun City 8,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Sun City 1,Beaufort - Sun City 7,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Sun City 1,Beaufort - Sun City 6,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Sun City 3,Beaufort - Sun City 8,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Sun City 3,Beaufort - Sun City 2,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Sun City 4,Beaufort - Sun City 3,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Sun City 4,Beaufort - Sun City 5,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Beaufort - Sun City 9,Beaufort - Sun City 3,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Berkeley - Old 52,Berkeley - Fifty-Two,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_medium
2024,president,,Berkeley - Alvin,Berkeley - Seventy Eight,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_last18_applied
2024,president,,Berkeley - Boulder Bluff,Berkeley - Central,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_medium
2024,president,,Berkeley - Cane Bay,Berkeley - Cane Bay,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Cane Bay,Berkeley - Cane Bay East,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Cane Bay,Berkeley - Cane Bay North,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Cane Bay,Berkeley - Cane Bay South,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Carnes Cross Roads 1,Berkeley - Carnes Cross Roads 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Carnes Cross Roads 2,Berkeley - Carnes Cross Road 2,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Berkeley - Daniel Island 1,Berkeley - Daniel Island 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Devon Forest 1,Berkeley - Devon Forest 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Discovery,Berkeley - Cobblestone,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Discovery,Berkeley - Discovery,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Medway,Berkeley - Medway,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_final27_guarded
2024,president,,Berkeley - Medway,Berkeley - Macedonia 2,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_last18_applied
2024,president,,Berkeley - Foster Creek 1,Berkeley - Foster Creek 3,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Foster Creek 1,Berkeley - Foster Creek 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_medium
2024,president,,Berkeley - Foster Creek 2,Berkeley - Foster Creek 2,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_medium
2024,president,,Berkeley - Foster Creek 3,Berkeley - Foster Creek 3,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_medium
2024,president,,Berkeley - Hanahan 5,Berkeley - Hanahan 5,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Hanahan 5,Berkeley - Westview 4,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Hilton Cross Rd,Berkeley - Hilton Cross Rd,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Howe Hall 1,Berkeley - Howe Hall 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Mcbeth,Berkeley - Mcbeth,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Moultrie,Berkeley - Moultrie,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Moultrie,Berkeley - North Creek,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - St. Stephen 1,Berkeley - St. Stephen 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Stone Lake,Berkeley - Harbour Lake,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Stone Lake,Berkeley - Stone Lake,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Whitesville 1,Berkeley - Whitesville 1,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Berkeley - Yeaman'S Club,Berkeley - Pine Grove,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Berkeley - Yeaman'S Club,Berkeley - Pomflant,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Calhoun - Murph Hill,Calhoun - Murph Hill,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
